Code,Description,Taxon,Domain
BA, B ash,, Brown ash
CH, B cherry,, Blk cherry
LO, B oak,, Blk oak
BW, B walnut,, Blk walnut
BU, B??????nut,, White walnut
FI, Balsam fir,, Fir
LI, Bass,, Linden
 cherry-leaved, bot,,  
CO, Cotton,,Poplar
CR, Crab,,Other hardwood
HA, H??????berry,,Hackberry
HI, Hick,, H??????ory
HM, House,,No tree
SU, Hrd maple,, Rock maple
XB, ie irregular township,,No data
XA, ie pages missing from notebook,,No data
IR, Iron,, I??????wood
JO, J oak Jk oak,, Yellow oak
JP, Jack pine,, J pine
RP, N pine,, Yellow pine
RM, R maple,,Maple
RO, R oak,,Oak
RA, Red ash,,Ash
JU, Red cedar,,Cedar/juniper
BD, rock (large stone used as a witness tree),,No tree
OW, roze willow,,Willow
SO, S oak,,Oak
UO, Shrub oak,,Oak
WE, W elm,,Elm
WM, W maple,, Wht maple
WO, W oak,, Wht oak
wo, W oak,, Wht oak
WP, W pine Wht pine,,Pine
wp, W pine Wht pine,,Pine
WS, W spruce,, Wht spruce
WT, W thorn,,Other hardwood
WU, Water beach,,Ironwood
 White birch, Wht birch,,WB
YB, Y birch,,Birch
yb, Y birch,,Birch
ybrc, Y birch,,Birch
"	AL","	Alder",Alnus,Nmich
"	AP","	Apple",Malus,Nmich
"	AH","	Ash",Fraxinus,Nmich
"	AS","	Aspen",Populus,Nmich
"	BG","	Balm of Gilead",Populus balsamifera,Nmich
"	BF","	Balsam Fir",Abies,Nmich
"	LI","	Basswood",Tilia,Nmich
"	BE","	Beech",Fagus,Nmich
"	BI","	Birch",Betula,Nmich
"	BA","	Black Ash",Fraxinus nigra,Nmich
"	BB","	Black Birch",Betula lenta,Nmich
"	BM","	Black Gum",Nyssa,Nmich
"	BL","	Blue Beech",Carpinus,Nmich
"	BX","	Boxelder",Acer negundo,Nmich
"	BD","	Boxwood",Acer negundo,Nmich
"	BO","	Bur Oak",Quercus macrocarpa,Nmich
"	BU","	Butternut",Juglans cinerea,Nmich
"	BT","	Buttonwood",Platanus,Nmich
"	CE","	Cedar",Cuppressaceae,Nmich
"	CH","	Cherry",Prunus,Nmich
"	CO","	Cottonwood",Populus deltoides,Nmich
"	CR","	Crab Apple",Malus,Nmich
"	DA","	Dead Ash",Dead,Nmich
"	DB","	Dead Birch",Dead,Nmich
"	DK","	Dead Black Ash",Dead,Nmich
"	DC","	Dead Cedar",Dead,Nmich
"	DF","	Dead Fir",Dead,Nmich
"	DH","	Dead Hemlock",Dead,Nmich
"	DM","	Dead Maple",Dead,Nmich
"	DP","	Dead Pine",Dead,Nmich
"	DR","	Dead Red Pine",Dead,Nmich
"	DU","	Dead Sugar",Dead,Nmich
"	DT","	Dead Tamarack",Dead,Nmich
"	DW","	Dogwood",Cornus,Nmich
"	EL","	Elm",Ulmus,Nmich
"	GB","	Gooseberry",Other,Nmich
"	HA","	Hackberry",Celtis,Nmich
"	HE","	Hemlock",Tsuga,Nmich
"	HI","	Hickory",Carya,Nmich
"	XX","	Indeterminable",Other,Nmich
"	IW","	Ironwood",Betulaceae,Nmich
"	JP","	Jack Pine",Pinus banksiana,Nmich
"	PS","	Jack Pine",Pinus banksiana,Nmich
"	MA","	Maple",Acer,Nmich
"	OA","	Oak",Quercus,Nmich
"	JO","	Pin Oak",Quercus,Nmich
"	PI","	Pine",Pinus,Nmich
"	PL","	Plum",Other,Nmich
"	SM","	Red Maple",Acer rubrum,Nmich
"	RO","	Red Oak",Quercus rubra,Nmich
"	RP","	Red Pine",Pinus resinosa,Nmich
"	SA","	Sassafras",Sassafras,Nmich
"	UO","	Scrub Oak",Quercus,Nmich
"	SP","	Spruce",Picea,Nmich
"	SU","	Sugar Maple",Acer saccharinum,Nmich
"	SY","	Sycamore",Platanus,Nmich
"	TA","	Tamarack",Larix,Nmich
"	TH","	Thorn",Crataegus,Nmich
"	WA","	White Ash",Fraxinus americana,Nmich
"	WB","	White Birch",Betula papyfera,Nmich
"	WC","	White Cedar",Thuja,Nmich
"	WO","	White Oak",Quercus alba,Nmich
"	WP","	White Pine",Pinus strobus,Nmich
"	WI","	Willow",Salix,Nmich
"	YB","	Yellow Birch",Betula alleghaniensis,Nmich
 aldar,Alder,,Alder
ald,Alder,Alnus,Southern MI v1.6
Alder,Alder,Alnus,Indiana v2.0
Alder,Alder,Alnus,OH - vernacular from OH471 towns
Alder,Alder,Alnus,Upper Midwest
b alder,Alder,,Indiana v2.0
B alder,Alder,,Indiana v2.0
LL,Alder,,Upper Midwest
,Alder,,Northeast (1372)
,Alder,,OH (471)
AA,Ash,Fraxinus,Upper Midwest
AH,Ash,Fraxinus,Upper Midwest
ash,Ash,,Illinois v2.0
Ash,Ash,,Illinois v2.0
ash,Ash,,Indiana v2.0
Ash,Ash,,Indiana v2.0
Ash,Ash,,Southern MI v1.6
ASH,Ash,,Southern MI v1.6
ash,Ash,,Southern MI v1.6
ash,Ash,,Southern MI_Detroit_ND_v1.0
Ash,Ash,,Southern MI_Detroit_ND_v1.0
Ash,Ash,,Upper Midwest
ash bush,Ash,,Indiana v2.0
Ashes,Ash,,Old Conversion Errors
Ashs,Ash,,Eastern Townships
ASHS,Ash,,OH471_wiki
ASHS_N_11_,Ash,,Northeast1372_wiki
b ash,Ash,,Illinois v2.0
b ash,Ash,,Indiana v2.0
B ash,Ash,,Indiana v2.0
B Ash,Ash,,Indiana v2.0
b ash,Ash,,Southern MI_Detroit_ND_v1.0
B ash,Ash,,Southern MI_Detroit_ND_v1.0
B Ash,Ash,,Southern MI_Detroit_ND_v1.0
b. ash,Ash,,Illinois v2.0
b. ash,Ash,,Indiana v2.0
B. ash,Ash,,Indiana v2.0
B. Ash,Ash,,Indiana v2.0
B. ash,Ash,,Southern MI_Detroit_ND_v1.0
B. Ash,Ash,,Southern MI_Detroit_ND_v1.0
B.Ash,Ash,,Indiana v2.0
b.ash,Ash,,Southern MI v1.6
ba,Ash,,Southern MI v1.6
BASH,Ash,,Southern MI v1.6
bash,Ash,,Southern MI v1.6
bash,Ash,,Upper Midwest
bk ash,Ash,,Indiana v2.0
bl ash,Ash,,Indiana v2.0
Bl Ash,Ash,,Indiana v2.0
bl ash,Ash,,Southern MI v1.6
Bl. Ash,Ash,,Indiana v2.0
bl.ash,Ash,,Southern MI v1.6
black ash,Ash,,Illinois v2.0
black ash,Ash,,Indiana v2.0
Black ash,Ash,,Indiana v2.0
Black Ash,Ash,,Indiana v2.0
blash,Ash,,Southern MI v1.6
blk ash,Ash,,Indiana v2.0
Blk ash,Ash,,Indiana v2.0
Blk Ash,Ash,,Indiana v2.0
blk. ash,Ash,,Indiana v2.0
Blk. Ash,Ash,,Indiana v2.0
blue ash,Ash,,Illinois v2.0
blue ash,Ash,,Indiana v2.0
Blue ash,Ash,,Indiana v2.0
Blue Ash,Ash,,Indiana v2.0
blue ash,Ash,,Southern MI_Detroit_ND_v1.0
Blue Ash Sapling,Ash,,Indiana v2.0
blus ash,Ash,,Southern MI v1.6
double ash,Ash,,Southern MI_Detroit_ND_v1.0
forked ash,Ash,,Illinois v2.0
g ash,Ash,,Indiana v2.0
G ash,Ash,,Indiana v2.0
G Ash,Ash,,Indiana v2.0
g. ash,Ash,,Indiana v2.0
G. ash,Ash,,Indiana v2.0
G. Ash,Ash,,Indiana v2.0
gray ash,Ash,,Indiana v2.0
Gray ash,Ash,,Indiana v2.0
Gray Ash,Ash,,Indiana v2.0
gray-ash,Ash,,Indiana v2.0
grey ash,Ash,,Indiana v2.0
Grey ash,Ash,,Indiana v2.0
Grey Ash,Ash,,Indiana v2.0
GY,Ash,,Upper Midwest
North b ash,Ash,,Indiana v2.0
r. ash,Ash,,Illinois v2.0
rash,Ash,,Southern MI v1.6
red ash,Ash,,Illinois v2.0
red ash,Ash,,Indiana v2.0
s ash,Ash,,Illinois v2.0
s ash,Ash,,Indiana v2.0
S ash,Ash,,Indiana v2.0
S Ash,Ash,,Indiana v2.0
s. ash,Ash,,Indiana v2.0
S. Ash,Ash,,Indiana v2.0
SA,Ash,,Upper Midwest
swamp ash,Ash,,Illinois v2.0
swamp ash,Ash,,Indiana v2.0
Swamp ash,Ash,,Indiana v2.0
Swamp Ash,Ash,,Indiana v2.0
swash,Ash,,Southern MI v1.6
swp ash,Ash,,Indiana v2.0
Swp ash,Ash,,Indiana v2.0
Swp Ash,Ash,,Indiana v2.0
swp. ash,Ash,,Indiana v2.0
Swp. Ash,Ash,,Indiana v2.0
UA,Ash,,Upper Midwest
w ash,Ash,,Illinois v2.0
w ash,Ash,,Indiana v2.0
W ash,Ash,,Indiana v2.0
W Ash,Ash,,Indiana v2.0
w ash,Ash,,Southern MI_Detroit_ND_v1.0
W Ash,Ash,,Southern MI_Detroit_ND_v1.0
w. ash,Ash,,Illinois v2.0
w. ash,Ash,,Indiana v2.0
W. ash,Ash,,Indiana v2.0
W. Ash,Ash,,Indiana v2.0
w. ash,Ash,,Southern MI_Detroit_ND_v1.0
W. ash,Ash,,Southern MI_Detroit_ND_v1.0
w.ash,Ash,,Southern MI v1.6
WA,Ash,,Upper Midwest
WASH,Ash,,Southern MI v1.6
wash,Ash,,Southern MI v1.6
wash,Ash,,Upper Midwest
Water Ash,Ash,,Indiana v2.0
waterash,Ash,,Southern MI v1.6
wh ash,Ash,,Illinois v2.0
wh ash,Ash,,Indiana v2.0
Wh ash,Ash,,Indiana v2.0
Wh Ash,Ash,,Indiana v2.0
white ash,Ash,,Illinois v2.0
white ash,Ash,,Indiana v2.0
White ash,Ash,,Indiana v2.0
White Ash,Ash,,Indiana v2.0
y ash,Ash,,Indiana v2.0
Y ash,Ash,,Indiana v2.0
Y Ash,Ash,,Indiana v2.0
,Ash,,Northeast (1372)
,Ash,,Northeast (1372)
,Ash,,Northeast (1372)
,Ash,,Northeast (1372)
,Ash,,Northeast (1372)
,Ash,,Northeast (1372)
,Ash,,OH - vernacular from OH471 towns
,Ash,,OH - vernacular from OH471 towns
,Ash,,OH - vernacular from OH471 towns
,Ash,,OH - vernacular from OH471 towns
,Ash,,OH - vernacular from OH471 towns
,Ash,,OH (471)
,Ash,,OH (471)
,Ash,,OH (471)
,Ash,,OH (471)
,Ash,,OH (471)
CHAMAE_IS,Atlantic white cedar,,OH471_wiki
CHAMAE_IS_,Atlantic white cedar,,Northeast1372_wiki
Chamaeis,Atlantic white cedar,,Eastern Townships
,Atlantic white cedar,,Northeast (1372)
cypress,Bald cypress,,Illinois v2.0
cypress tree,Bald cypress,,Illinois v2.0
siprus,Bald cypress,,Illinois v2.0
BAS,Basswood,,Southern MI v1.6
bass,Basswood,,Southern MI v1.6
BASS,Basswood,,Southern MI v1.6
Bass ,Basswood,,OH - vernacular from OH471 towns
Basswood,Basswood,,Eastern Townships
basswood,Basswood,,Indiana v2.0
BASSWOOD,Basswood,,OH471_wiki
basswood,Basswood,,Southern MI_Detroit_ND_v1.0
Basswood,Basswood,,Upper Midwest
Basswood ,Basswood,,OH - vernacular from OH471 towns
BASSWOOD_N,Basswood,,Northeast1372_wiki
BP,Basswood,,Upper Midwest
double lin tree,Basswood,,Illinois v2.0
forked lynn,Basswood,,Illinois v2.0
forked lynn,Basswood,,Indiana v2.0
lin,Basswood,,Illinois v2.0
lin,Basswood,,Southern MI v1.6
lin tree,Basswood,,Illinois v2.0
Lind,Basswood,,OH - vernacular from OH471 towns
lind,Basswood,,Southern MI_Detroit_ND_v1.0
linden,Basswood,,Illinois v2.0
Linden ,Basswood,,OH - vernacular from OH471 towns
linn,Basswood,,Illinois v2.0
linn,Basswood,,Indiana v2.0
Linn,Basswood,,OH - vernacular from OH471 towns
linn,Basswood,,Southern MI_Detroit_ND_v1.0
ly,Basswood,,Illinois v2.0
lyme,Basswood,,Illinois v2.0
Lyme,Basswood,,Indiana v2.0
lyn,Basswood,,Illinois v2.0
LYN,Basswood,,Southern MI v1.6
lyn,Basswood,,Southern MI v1.6
lyn,Basswood,,Upper Midwest
lynn,Basswood,,Illinois v2.0
lynn,Basswood,,Indiana v2.0
Lynn,Basswood,,Indiana v2.0
lynn,Basswood,,Southern MI_Detroit_ND_v1.0
Lynn,Basswood,,Southern MI_Detroit_ND_v1.0
Lynn ,Basswood,,OH - vernacular from OH471 towns
lynn tree,Basswood,,Illinois v2.0
lynn tree,Basswood,,Indiana v2.0
lynne,Basswood,,Indiana v2.0
Lynne,Basswood,,Southern MI_Detroit_ND_v1.0
Lynntree,Basswood,,Indiana v2.0
lynnwood,Basswood,,Indiana v2.0
red lin,Basswood,,Indiana v2.0
s lynn,Basswood,,Indiana v2.0
,Basswood,,Northeast (1372)
,Basswood,,Northeast (1372)
,Basswood,,Northeast (1372)
,Basswood,,Northeast (1372)
,Basswood,,OH (471)
,Basswood,,OH (471)
,Basswood,,OH (471)
 B birch,BB,,Black birch
Bastard Beech,Beech,,Indiana v2.0
BCH,Beech,,Southern MI v1.6
bch,Beech,,Southern MI v1.6
BCH,Beech,,Upper Midwest
bch,Beech,,Upper Midwest
BE,Beech,,Upper Midwest
beach,Beech,,Illinois v2.0
Bech,Beech,,Indiana v2.0
Beech,Beech,,Eastern Townships
beech,Beech,,Illinois v2.0
beech,Beech,,Indiana v2.0
Beech,Beech,,Indiana v2.0
BEECH,Beech,,OH471_wiki
beech,Beech,,Southern MI v1.6
beech,Beech,,Southern MI_Detroit_ND_v1.0
Beech,Beech,,Southern MI_Detroit_ND_v1.0
Beech,Beech,,Upper Midwest
beech (double),Beech,,Indiana v2.0
Beech sapling,Beech,,Indiana v2.0
Beech Sapling,Beech,,Indiana v2.0
beech sapling,Beech,,Indiana v2.0
beech stump,Beech,,Indiana v2.0
beech tree,Beech,,Indiana v2.0
BEECH_N_11,Beech,,Northeast1372_wiki
beeh,Beech,,Indiana v2.0
bgh,Beech,,Southern MI v1.6
Black Beech,Beech,,Indiana v2.0
double beech,Beech,,Indiana v2.0
forked beech,Beech,,Indiana v2.0
Forked Beech,Beech,,Indiana v2.0
Ground Beech,Beech,,Indiana v2.0
Red Beech,Beech,,Indiana v2.0
s beech,Beech,,Indiana v2.0
S Beech,Beech,,Indiana v2.0
Stooping beech,Beech,,Indiana v2.0
swamp beech,Beech,,Indiana v2.0
Swamp Beech,Beech,,Indiana v2.0
swp beech,Beech,,Indiana v2.0
Swp Beech,Beech,,Indiana v2.0
Wh Beech,Beech,,Indiana v2.0
White Beech,Beech,,Indiana v2.0
,Beech,,Northeast (1372)
,Beech,,OH - vernacular from OH471 towns
,Beech,,OH (471)
bastard birch,Birch,,Indiana v2.0
BI,Birch,,Upper Midwest
birch,Birch,,Illinois v2.0
birch,Birch,,Indiana v2.0
Birch,Birch,,Indiana v2.0
Birch,Birch,,OH - vernacular from OH471 towns
birch,Birch,,Southern MI_Detroit_ND_v1.0
Birch,Birch,,Upper Midwest
Birches,Birch,,Eastern Townships
BIRCHES,Birch,,OH471_wiki
BIRCHES_N_,Birch,,Northeast1372_wiki
br,Birch,,Southern MI v1.6
Brc,Birch,,Southern MI v1.6
BRC,Birch,,Southern MI v1.6
brc,Birch,,Southern MI v1.6
brc,Birch,,Upper Midwest
brch,Birch,,Southern MI v1.6
BRCH,Birch,,Southern MI v1.6
brch,Birch,,Upper Midwest
buch,Birch,,Southern MI v1.6
burch,Birch,,Illinois v2.0
Burch,Birch,,OH - vernacular from OH471 towns
UB,Birch,,Upper Midwest
w birch,Birch,,Indiana v2.0
w. birch,Birch,,Indiana v2.0
water birch,Birch,,Illinois v2.0
Water Birch,Birch,,Indiana v2.0
wb,Birch,,Southern MI v1.6
WB,Birch,,Southern MI v1.6
wb,Birch,,Upper Midwest
wbrc,Birch,,Southern MI v1.6
wbrc,Birch,,Upper Midwest
wbrch,Birch,,Southern MI v1.6
WY,Birch,,Upper Midwest
y birch,Birch,,Indiana v2.0
y.brc,Birch,,Southern MI v1.6
YB,Birch,,Southern MI v1.6
yb,Birch,,Southern MI v1.6
ybrc,Birch,,Southern MI v1.6
ybrch,Birch,,Southern MI v1.6
ybrcm,Birch,,Southern MI v1.6
yellow birch,Birch,,Indiana v2.0
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,Northeast (1372)
,Birch,,OH (471)
b gum,Black gum,,Illinois v2.0
b gum,Black gum,,Indiana v2.0
B gum,Black gum,,Indiana v2.0
B Gum,Black gum,,Indiana v2.0
B Gum Stump,Black gum,,Indiana v2.0
b. gum,Black gum,,Illinois v2.0
b. gum,Black gum,,Indiana v2.0
B. Gum,Black gum,,Indiana v2.0
Bl Gum,Black gum,,Indiana v2.0
black gum,Black gum,,Illinois v2.0
black gum,Black gum,,Indiana v2.0
Black Gum,Black gum,,Indiana v2.0
blk gum,Black gum,,Illinois v2.0
blk gum,Black gum,,Indiana v2.0
Blk Gum,Black gum,,Indiana v2.0
BM,Black gum,,Upper Midwest
Nyssa,Black gum,,Eastern Townships
NYSSA,Black gum,,OH471_wiki
NYSSA_N_10,Black gum,,Northeast1372_wiki
pep,Black gum,,Southern MI v1.6
PEP,Black gum,,Southern MI v1.6
Peperage,Black gum,,OH - vernacular from OH471 towns
Pepper   ,Black gum,,OH - vernacular from OH471 towns
Pepperage,Black gum,,Indiana v2.0
Pepperage,Black gum,,OH - vernacular from OH471 towns
pepperidge,Black gum,,Indiana v2.0
pepr,Black gum,,Southern MI v1.6
peprage or b gum,Black gum,,Indiana v2.0
Piperage,Black gum,,OH - vernacular from OH471 towns
,Black gum,,Northeast (1372)
,Black gum,,Northeast (1372)
,Black gum,,Northeast (1372)
,Black gum,,Northeast (1372)
,Black gum,,Northeast (1372)
,Black gum,,OH - vernacular from OH471 towns
,Black gum,,OH (471)
gum,Black gum/sweet gum,,Illinois v2.0
gum,Black gum/sweet gum,,Indiana v2.0
Gum,Black gum/sweet gum,,Indiana v2.0
gum,Black gum/sweet gum,,Southern MI v1.6
gum,Black gum/sweet gum,,Southern MI_Detroit_ND_v1.0
Gum,Black gum/sweet gum,,Southern MI_Detroit_ND_v1.0
Gum,Black gum/sweet gum,,Upper Midwest
gumb,Black gum/sweet gum,,Illinois v2.0
W Gum,Black gum/sweet gum,,Indiana v2.0
White Gum,Black gum/sweet gum,,Indiana v2.0
,Black gum/sweet gum,,Northeast (1372)
,Black gum/sweet gum,,OH - vernacular from OH471 towns
,Black gum/sweet gum,,OH (471)
,Black gum/sweet gum,,OH (471)
b eye,Buckeye,,Illinois v2.0
b. eye,Buckeye,,Illinois v2.0
buc-eye,Buckeye,,Illinois v2.0
buck,Buckeye,,Indiana v2.0
buck,Buckeye,,Southern MI v1.6
buck eye,Buckeye,,Illinois v2.0
Buck eye,Buckeye,,Indiana v2.0
Buckey,Buckeye,,Indiana v2.0
buckeye,Buckeye,,Illinois v2.0
buckeye,Buckeye,,Indiana v2.0
Buckeye,Buckeye,,Indiana v2.0
BUCKEYE,Buckeye,,OH471_wiki
buckeye,Buckeye,,Southern MI_Detroit_ND_v1.0
Buckeye sapling,Buckeye,,Indiana v2.0
BY,Buckeye,,Upper Midwest
,Buckeye,,Northeast (1372)
,Buckeye,,OH - vernacular from OH471 towns
,Buckeye,,OH - vernacular from OH471 towns
,Buckeye,,OH (471)
CE,Cedar/juniper,,Upper Midwest
CED,Cedar/juniper,,Southern MI v1.6
ced,Cedar/juniper,,Southern MI v1.6
CED,Cedar/juniper,,Upper Midwest
ced,Cedar/juniper,,Upper Midwest
Cedar,Cedar/juniper,,Eastern Townships
cedar,Cedar/juniper,,Illinois v2.0
cedar,Cedar/juniper,,Indiana v2.0
Cedar,Cedar/juniper,,Indiana v2.0
Cedar,Cedar/juniper,,OH - vernacular from OH471 towns
CEDAR,Cedar/juniper,,OH471_wiki
cedar,Cedar/juniper,,Southern MI v1.6
Cedar,Cedar/juniper,,Upper Midwest
CEDAR_N_11,Cedar/juniper,,Northeast1372_wiki
crd,Cedar/juniper,,Southern MI v1.6
r cedar,Cedar/juniper,,Indiana v2.0
WC,Cedar/juniper,,Upper Midwest
,Cedar/juniper,,Northeast (1372)
,Cedar/juniper,,Northeast (1372)
,Cedar/juniper,,Northeast (1372)
,Cedar/juniper,,OH - vernacular from OH471 towns
,Cedar/juniper,,OH (471)
,Cedar/juniper,,OH (471)
b ch,Cherry,,Southern MI v1.6
b cherry,Cherry,,Illinois v2.0
B Cherry,Cherry,,Indiana v2.0
BCHER,Cherry,,Southern MI v1.6
bcher,Cherry,,Southern MI v1.6
black cherry,Cherry,,Illinois v2.0
black cherry,Cherry,,Indiana v2.0
chcr,Cherry,,Southern MI v1.6
CHER,Cherry,,Southern MI v1.6
cher,Cherry,,Southern MI v1.6
Cherries,Cherry,,Eastern Townships
CHERRIES,Cherry,,OH471_wiki
CHERRIES_N,Cherry,,Northeast1372_wiki
cherritree,Cherry,,Illinois v2.0
cherritree,Cherry,,Southern MI_Detroit_ND_v1.0
cherry,Cherry,,Illinois v2.0
cherry,Cherry,,Indiana v2.0
Cherry,Cherry,,Indiana v2.0
cherry,Cherry,,Southern MI_Detroit_ND_v1.0
Cherry,Cherry,,Southern MI_Detroit_ND_v1.0
Cherry,Cherry,,Upper Midwest
Cherry bush,Cherry,,Indiana v2.0
cherry tree,Cherry,,Illinois v2.0
cherry tree,Cherry,,Indiana v2.0
Cherry tree,Cherry,,Indiana v2.0
Cherry Tree,Cherry,,Indiana v2.0
cherry tree,Cherry,,Southern MI_Detroit_ND_v1.0
cherrytree,Cherry,,Illinois v2.0
cherrytree,Cherry,,Indiana v2.0
Cherrytree,Cherry,,Indiana v2.0
cherrytree,Cherry,,Southern MI_Detroit_ND_v1.0
chery,Cherry,,Indiana v2.0
chirry tree,Cherry,,Illinois v2.0
chry,Cherry,,Southern MI v1.6
forked cherry,Cherry,,Indiana v2.0
RC,Cherry,,Upper Midwest
s. cherry,Cherry,,Illinois v2.0
s. cherry,Cherry,,Indiana v2.0
w cherry,Cherry,,Indiana v2.0
W Cherry,Cherry,,Indiana v2.0
wild cherry,Cherry,,Illinois v2.0
wild cherry,Cherry,,Indiana v2.0
Wild Cherry,Cherry,,Indiana v2.0
,Cherry,,Northeast (1372)
,Cherry,,Northeast (1372)
,Cherry,,Northeast (1372)
,Cherry,,Northeast (1372)
,Cherry,,OH - vernacular from OH471 towns
,Cherry,,OH - vernacular from OH471 towns
,Cherry,,OH (471)
,Cherry,,OH (471)
chesnut,Chestnut,,Indiana v2.0
Chesnut,Chestnut,,Indiana v2.0
Chesnut,Chestnut,,Southern MI_Detroit_ND_v1.0
Chest,Chestnut,,Indiana v2.0
chest,Chestnut,,Southern MI v1.6
Chest.,Chestnut,,Indiana v2.0
Chestnut,Chestnut,,Eastern Townships
chestnut,Chestnut,,Indiana v2.0
Chestnut,Chestnut,,Indiana v2.0
CHESTNUT,Chestnut,,OH471_wiki
CHESTNUT_N,Chestnut,,Northeast1372_wiki
,Chestnut,,Northeast (1372)
,Chestnut,,OH - vernacular from OH471 towns
,Chestnut,,OH (471)
d wood,Dogwood,,Illinois v2.0
d. wood,Dogwood,,Illinois v2.0
DG,Dogwood,,Upper Midwest
dgw,Dogwood,,Illinois v2.0
dgwd,Dogwood,,Illinois v2.0
dgwood,Dogwood,,Illinois v2.0
dog,Dogwood,,Southern MI v1.6
dog wood,Dogwood,,Indiana v2.0
Dogd.,Dogwood,,Southern MI_Detroit_ND_v1.0
dogg,Dogwood,,Southern MI v1.6
dogw,Dogwood,,Illinois v2.0
dogw,Dogwood,,Indiana v2.0
dogw,Dogwood,,Southern MI v1.6
Dogw,Dogwood,,Southern MI v1.6
dogw.,Dogwood,,Indiana v2.0
Dogw.,Dogwood,,Indiana v2.0
dogwd,Dogwood,,Illinois v2.0
dogwd,Dogwood,,Indiana v2.0
dogwD,Dogwood,,Indiana v2.0
Dogwd,Dogwood,,Indiana v2.0
dogwod,Dogwood,,Illinois v2.0
dogwod,Dogwood,,Indiana v2.0
dogwood,Dogwood,,Illinois v2.0
dogwood,Dogwood,,Indiana v2.0
Dogwood,Dogwood,,Indiana v2.0
DOGWOOD,Dogwood,,OH471_wiki
dogwood,Dogwood,,Southern MI_Detroit_ND_v1.0
Dogwood,Dogwood,,Upper Midwest
dog-wood,Dogwood,,Indiana v2.0
DW,Dogwood,,Upper Midwest
dwd,Dogwood,,Illinois v2.0
dwood,Dogwood,,Illinois v2.0
,Dogwood,,Northeast (1372)
,Dogwood,,OH - vernacular from OH471 towns
,Dogwood,,OH (471)
AE,Elm,Ulmus,Upper Midwest
allim,Elm,,Illinois v2.0
allum,Elm,,Indiana v2.0
Allum,Elm,,Indiana v2.0
b elm,Elm,,Indiana v2.0
bitter elm,Elm,,Indiana v2.0
Bitter Elm,Elm,,Indiana v2.0
blm,Elm,,Southern MI v1.6
EL,Elm,,Upper Midwest
elleim,Elm,,Illinois v2.0
ellem,Elm,,Illinois v2.0
ellim,Elm,,Illinois v2.0
ellum,Elm,,Illinois v2.0
elm,Elm,,Illinois v2.0
Elm,Elm,,Illinois v2.0
elm,Elm,,Indiana v2.0
Elm,Elm,,Indiana v2.0
Elm,Elm,,Southern MI v1.6
ELM,Elm,,Southern MI v1.6
elm,Elm,,Southern MI v1.6
elm,Elm,,Southern MI_Detroit_ND_v1.0
Elm,Elm,,Southern MI_Detroit_ND_v1.0
Elm,Elm,,Upper Midwest
elm,Elm,,Upper Midwest
elm bush,Elm,,Indiana v2.0
elm sapling,Elm,,Illinois v2.0
elm tree,Elm,,Illinois v2.0
elmn,Elm,,Illinois v2.0
Elms,Elm,,Eastern Townships
ELMS,Elm,,OH471_wiki
ELMS_N_10_,Elm,,Northeast1372_wiki
eln,Elm,,Southern MI v1.6
em,Elm,,Southern MI v1.6
ES,Elm,,Upper Midwest
fkd elm,Elm,,Indiana v2.0
forked Elm,Elm,,Indiana v2.0
Forked Elm,Elm,,Indiana v2.0
h elm,Elm,,Indiana v2.0
H elm,Elm,,Indiana v2.0
H. Elm,Elm,,Indiana v2.0
Hic Elm,Elm,,Indiana v2.0
hick elm,Elm,,Indiana v2.0
hickory elm,Elm,,Indiana v2.0
hicky elm,Elm,,Indiana v2.0
Hicky Elm,Elm,,Indiana v2.0
hicky-elm,Elm,,Indiana v2.0
LE,Elm,,Upper Midwest
r elm,Elm,,Illinois v2.0
r elm,Elm,,Indiana v2.0
R elm,Elm,,Indiana v2.0
R Elm,Elm,,Indiana v2.0
r. elm,Elm,,Illinois v2.0
r. elm,Elm,,Indiana v2.0
R. Elm,Elm,,Indiana v2.0
r.elm,Elm,,Southern MI v1.6
RE,Elm,,Upper Midwest
red elm,Elm,,Illinois v2.0
red elm,Elm,,Indiana v2.0
