Code,Description,Taxon,Domain
Red elm,Elm,,Indiana v2.0
Red Elm,Elm,,Indiana v2.0
relm,Elm,,Southern MI v1.6
RK,Elm,,Upper Midwest
rlm,Elm,,Southern MI v1.6
s elm,Elm,,Illinois v2.0
s elm,Elm,,Indiana v2.0
S Elm,Elm,,Indiana v2.0
s. elm,Elm,,Illinois v2.0
s. elm,Elm,,Indiana v2.0
S. Elm,Elm,,Indiana v2.0
SE,Elm,,Upper Midwest
slippery elm,Elm,,Illinois v2.0
slippery elm,Elm,,Indiana v2.0
Slippery Elm,Elm,,Indiana v2.0
swamp elm,Elm,,Illinois v2.0
swp elm,Elm,,Illinois v2.0
swp elm,Elm,,Indiana v2.0
Swp Elm,Elm,,Indiana v2.0
Swp. Elm,Elm,,Indiana v2.0
w elm,Elm,,Illinois v2.0
w elm,Elm,,Indiana v2.0
W elm,Elm,,Indiana v2.0
W Elm,Elm,,Indiana v2.0
w. elm,Elm,,Indiana v2.0
W. Elm,Elm,,Indiana v2.0
wh elm,Elm,,Indiana v2.0
Wh Elm,Elm,,Indiana v2.0
Whi Elm,Elm,,Indiana v2.0
white elm,Elm,,Illinois v2.0
white elm,Elm,,Indiana v2.0
White Elm,Elm,,Indiana v2.0
,Elm,,Northeast (1372)
,Elm,,Northeast (1372)
,Elm,,Northeast (1372)
,Elm,,Northeast (1372)
,Elm,,OH - vernacular from OH471 towns
,Elm,,OH - vernacular from OH471 towns
,Elm,,OH - vernacular from OH471 towns
,Elm,,OH - vernacular from OH471 towns
,Elm,,OH (471)
,Elm,,OH (471)
,Elm,,OH (471)
,Elm,,OH (471)
bals,Fir,,Southern MI v1.6
BF,Fir,,Upper Midwest
Fir,Fir,,Eastern Townships
FIR,Fir,,OH471_wiki
FIR,Fir,,Southern MI v1.6
fir,Fir,,Southern MI v1.6
Fir,Fir,,Upper Midwest
fir,Fir,,Upper Midwest
FIR_N_11_7,Fir,,Northeast1372_wiki
,Fir,,Northeast (1372)
hack,Hackberry,,Illinois v2.0
hack,Hackberry,,Indiana v2.0
hack,Hackberry,,Southern MI v1.6
HACK,Hackberry,,Southern MI v1.6
hack berry,Hackberry,,Illinois v2.0
hack berry tree,Hackberry,,Illinois v2.0
hack bery,Hackberry,,Illinois v2.0
hack bush,Hackberry,,Indiana v2.0
HACKBERRIE,Hackberry,,OH471_wiki
hackberry,Hackberry,,Illinois v2.0
hackberry,Hackberry,,Indiana v2.0
Hackberry,Hackberry,,Indiana v2.0
Hackberry,Hackberry,,Upper Midwest
hackberry tree,Hackberry,,Illinois v2.0
hackbery,Hackberry,,Illinois v2.0
Hackbery,Hackberry,,Indiana v2.0
hackbry,Hackberry,,Illinois v2.0
hackby,Hackberry,,Illinois v2.0
hby,Hackberry,,Illinois v2.0
,Hackberry,,OH - vernacular from OH471 towns
,Hackberry,,OH (471)
hcm,Hemlock,,Southern MI v1.6
HE,Hemlock,,Upper Midwest
heem,Hemlock,,Southern MI v1.6
Hem,Hemlock,,Southern MI v1.6
HEM,Hemlock,,Southern MI v1.6
hem,Hemlock,,Southern MI v1.6
hem,Hemlock,,Upper Midwest
HEM,Hemlock,,Upper Midwest
Hemlock,Hemlock,,Eastern Townships
hemlock,Hemlock,,Indiana v2.0
HEMLOCK,Hemlock,,OH471_wiki
Hemlock,Hemlock,,Upper Midwest
HEMLOCK_N_,Hemlock,,Northeast1372_wiki
her,Hemlock,,Southern MI v1.6
HM,Hemlock,,Southern MI v1.6
,Hemlock,,Northeast (1372)
,Hemlock,,Northeast (1372)
,Hemlock,,OH - vernacular from OH471 towns
,Hemlock,,OH (471)
b hickory,Hickory,,Illinois v2.0
B Hickory,Hickory,,Indiana v2.0
b hicky,Hickory,,Indiana v2.0
b. hickory,Hickory,,Illinois v2.0
b. hicky,Hickory,,Indiana v2.0
Bitternut,Hickory,,OH - vernacular from OH471 towns
black hickory,Hickory,,Illinois v2.0
blk hickory,Hickory,,Illinois v2.0
blk hickory,Hickory,,Indiana v2.0
blk hicky,Hickory,,Indiana v2.0
double hickory,Hickory,,Illinois v2.0
Fkd Hickory,Hickory,,Indiana v2.0
forked hickory,Hickory,,Illinois v2.0
h,Hickory,,Illinois v2.0
H,Hickory,,Southern MI v1.6
hck,Hickory,,Southern MI v1.6
HCK,Hickory,,Southern MI v1.6
hcko,Hickory,,Illinois v2.0
hcok,Hickory,,Illinois v2.0
hcy,Hickory,,Illinois v2.0
Heicky,Hickory,,Indiana v2.0
hey,Hickory,,Southern MI v1.6
hic,Hickory,,Illinois v2.0
hic,Hickory,,Southern MI_Detroit_ND_v1.0
Hic,Hickory,,Southern MI_Detroit_ND_v1.0
hick,Hickory,,Illinois v2.0
hick,Hickory,,Indiana v2.0
Hick,Hickory,,Indiana v2.0
HICK,Hickory,,Southern MI v1.6
hick,Hickory,,Southern MI v1.6
hick,Hickory,,Southern MI_Detroit_ND_v1.0
hickery,Hickory,,Illinois v2.0
hickey,Hickory,,Illinois v2.0
hickiry,Hickory,,Illinois v2.0
hickoey,Hickory,,Illinois v2.0
Hickories,Hickory,,Eastern Townships
HICKORIES,Hickory,,OH471_wiki
HICKORIES_,Hickory,,Northeast1372_wiki
hickory,Hickory,,Illinois v2.0
Hickory,Hickory,,Illinois v2.0
Hickory,Hickory,,Illinois v2.0
hickory,Hickory,,Indiana v2.0
Hickory,Hickory,,Indiana v2.0
HIckory,Hickory,,Indiana v2.0
hickory,Hickory,,Southern MI_Detroit_ND_v1.0
Hickory,Hickory,,Southern MI_Detroit_ND_v1.0
Hickory,Hickory,,Upper Midwest
hickory bush,Hickory,,Illinois v2.0
hickory sapling,Hickory,,Illinois v2.0
Hickory sapling,Hickory,,Indiana v2.0
hickoy,Hickory,,Illinois v2.0
hickr,Hickory,,Illinois v2.0
hickroy,Hickory,,Illinois v2.0
hickroy,Hickory,,Indiana v2.0
hickry,Hickory,,Illinois v2.0
hickry,Hickory,,Indiana v2.0
hickry,Hickory,,Southern MI_Detroit_ND_v1.0
hicky,Hickory,,Illinois v2.0
hicky,Hickory,,Indiana v2.0
Hicky,Hickory,,Indiana v2.0
hicky,Hickory,,Southern MI_Detroit_ND_v1.0
Hicky,Hickory,,Southern MI_Detroit_ND_v1.0
Hicky.,Hickory,,Southern MI_Detroit_ND_v1.0
hicory,Hickory,,Illinois v2.0
hicory,Hickory,,Indiana v2.0
hicory,Hickory,,Southern MI_Detroit_ND_v1.0
hicy,Hickory,,Illinois v2.0
hik,Hickory,,Indiana v2.0
HIK,Hickory,,Southern MI v1.6
hikery,Hickory,,Illinois v2.0
hikory,Hickory,,Illinois v2.0
hiky,Hickory,,Illinois v2.0
hiy,Hickory,,Illinois v2.0
hkry,Hickory,,Illinois v2.0
hky,Hickory,,Illinois v2.0
hky,Hickory,,Southern MI v1.6
HKY,Hickory,,Southern MI v1.6
hky.,Hickory,,Illinois v2.0
h-symbol,Hickory,,Illinois v2.0
hy,Hickory,,Illinois v2.0
Hy,Hickory,,Southern MI_Detroit_ND_v1.0
Hy.,Hickory,,Southern MI_Detroit_ND_v1.0
IT,Hickory,,Upper Midwest
LH,Hickory,,Upper Midwest
r hickory,Hickory,,Illinois v2.0
Red Hickory,Hickory,,Indiana v2.0
s. hickory,Hickory,,Illinois v2.0
scaly bark hickory,Hickory,,Illinois v2.0
scruby hickory,Hickory,,Illinois v2.0
sealy bark hickory,Hickory,,Illinois v2.0
shell bark hickory,Hickory,,Illinois v2.0
shellbark hickory,Hickory,,Illinois v2.0
Three small white hickories,Hickory,,Indiana v2.0
w hickory,Hickory,,Indiana v2.0
W hickory,Hickory,,Indiana v2.0
W Hickory,Hickory,,Indiana v2.0
w hicky,Hickory,,Indiana v2.0
w hky,Hickory,,Illinois v2.0
W. Hickory,Hickory,,Indiana v2.0
W. Hicky,Hickory,,Indiana v2.0
white hickory,Hickory,,Illinois v2.0
White hickory,Hickory,,OH - vernacular from OH471 towns
WK,Hickory,,Upper Midwest
,Hickory,,Northeast (1372)
,Hickory,,Northeast (1372)
,Hickory,,Northeast (1372)
,Hickory,,Northeast (1372)
,Hickory,,OH - vernacular from OH471 towns
,Hickory,,OH (471)
,Hickory,,OH (471)
b beech,Ironwood,,Indiana v2.0
BL,Ironwood,,Upper Midwest
bl.bch,Ironwood,,Southern MI v1.6
blbch,Ironwood,,Southern MI v1.6
blue beech,Ironwood,,Indiana v2.0
Blue beech,Ironwood,,Indiana v2.0
Blue Beech,Ironwood,,Indiana v2.0
Blue beech,Ironwood,,OH - vernacular from OH471 towns
forked ironwood,Ironwood,,Indiana v2.0
h beam,Ironwood,,Indiana v2.0
Hardbeam,Ironwood,,OH - vernacular from OH471 towns
hardhack,Ironwood,,Illinois v2.0
Hardhack,Ironwood,,OH - vernacular from OH471 towns
HB,Ironwood,,Upper Midwest
HO,Ironwood,,Upper Midwest
hop,Ironwood,,Southern MI v1.6
horn,Ironwood,,Indiana v2.0
horn beam,Ironwood,,Illinois v2.0
horn beam,Ironwood,,Indiana v2.0
Horn beam,Ironwood,,Indiana v2.0
hornb,Ironwood,,Southern MI v1.6
hornbeam,Ironwood,,Illinois v2.0
hornbeam,Ironwood,,Indiana v2.0
Hornbeam,Ironwood,,Indiana v2.0
Hornbeam,Ironwood,,OH - vernacular from OH471 towns
hornbeam,Ironwood,,Southern MI_Detroit_ND_v1.0
hrm,Ironwood,,Southern MI v1.6
Irnwd,Ironwood,,Indiana v2.0
iron,Ironwood,,Indiana v2.0
IRON,Ironwood,,Southern MI v1.6
iron,Ironwood,,Southern MI v1.6
iron,Ironwood,,Southern MI_Detroit_ND_v1.0
iron wood,Ironwood,,Illinois v2.0
iron wood,Ironwood,,Indiana v2.0
Iron wood,Ironwood,,Indiana v2.0
iron.wood,Ironwood,,Southern MI_Detroit_ND_v1.0
irond,Ironwood,,Indiana v2.0
Irond,Ironwood,,Indiana v2.0
IronD,Ironwood,,Indiana v2.0
irond,Ironwood,,Southern MI_Detroit_ND_v1.0
Irond,Ironwood,,Southern MI_Detroit_ND_v1.0
Irond.,Ironwood,,Southern MI_Detroit_ND_v1.0
ironw,Ironwood,,Indiana v2.0
Ironw,Ironwood,,Indiana v2.0
ironwd,Ironwood,,Illinois v2.0
ironwd,Ironwood,,Indiana v2.0
ironwD,Ironwood,,Indiana v2.0
Ironwd,Ironwood,,Indiana v2.0
IronwD,Ironwood,,Indiana v2.0
ironwd,Ironwood,,Southern MI_Detroit_ND_v1.0
Ironwd,Ironwood,,Southern MI_Detroit_ND_v1.0
ironwd.,Ironwood,,Indiana v2.0
ironwod,Ironwood,,Indiana v2.0
Ironwod,Ironwood,,Indiana v2.0
ironwood,Ironwood,,Illinois v2.0
ironwood,Ironwood,,Indiana v2.0
Ironwood,Ironwood,,Indiana v2.0
Ironwood,Ironwood,,OH - vernacular from OH471 towns
ironwood,Ironwood,,Southern MI v1.6
ironwood,Ironwood,,Southern MI_Detroit_ND_v1.0
Ironwood,Ironwood,,Southern MI_Detroit_ND_v1.0
Ironwood,Ironwood,,Upper Midwest
iron-wood,Ironwood,,Illinois v2.0
Ironwood sapling,Ironwood,,Indiana v2.0
Ironwoods,Ironwood,,Eastern Townships
IRONWOODS,Ironwood,,OH471_wiki
IRONWOODS_,Ironwood,,Northeast1372_wiki
Irowd,Ironwood,,Southern MI_Detroit_ND_v1.0
IW,Ironwood,,Upper Midwest
lever wood,Ironwood,,Southern MI v1.6
w beech,Ironwood,,Illinois v2.0
w beech,Ironwood,,Indiana v2.0
W beech,Ironwood,,Indiana v2.0
W Beech,Ironwood,,Indiana v2.0
w. beech,Ironwood,,Illinois v2.0
w. beech,Ironwood,,Indiana v2.0
W. Beech,Ironwood,,Indiana v2.0
water beech,Ironwood,,Illinois v2.0
water beech,Ironwood,,Indiana v2.0
Water Beech,Ironwood,,Indiana v2.0
water beech,Ironwood,,Southern MI v1.6
waterbeech,Ironwood,,Indiana v2.0
Waterbeech,Ironwood,,Indiana v2.0
White Ironwood,Ironwood,,Indiana v2.0
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,Northeast (1372)
,Ironwood,,OH (471)
,Ironwood,,OH (471)
,Ironwood,,OH (471)
,Ironwood,,OH (471)
,Ironwood,,OH (471)
b locust,Locust,,Illinois v2.0
black locust,Locust,,Indiana v2.0
h locus,Locust,,Illinois v2.0
h locust,Locust,,Illinois v2.0
h locust,Locust,,Indiana v2.0
H locust,Locust,,Indiana v2.0
H Locust,Locust,,Indiana v2.0
h. locus,Locust,,Illinois v2.0
h. locust,Locust,,Illinois v2.0
h. locust,Locust,,Indiana v2.0
H. Locust,Locust,,Indiana v2.0
hon locust,Locust,,Indiana v2.0
Hon. Locust,Locust,,Indiana v2.0
honey locis,Locust,,Illinois v2.0
honey locus,Locust,,Illinois v2.0
Honey Locus,Locust,,Indiana v2.0
honey locust,Locust,,Illinois v2.0
honey locust,Locust,,Indiana v2.0
Honey locust,Locust,,Indiana v2.0
Honey Locust,Locust,,Indiana v2.0
honeylocust,Locust,,Illinois v2.0
honey-locust,Locust,,Illinois v2.0
hony locust,Locust,,Illinois v2.0
locas,Locust,,Illinois v2.0
locu,Locust,,Illinois v2.0
locus,Locust,,Illinois v2.0
Locust,Locust,,Eastern Townships
locust,Locust,,Illinois v2.0
locust,Locust,,Indiana v2.0
Locust,Locust,,Indiana v2.0
locust,Locust,,Southern MI v1.6
Locust,Locust,,Southern MI_Detroit_ND_v1.0
locust tree,Locust,,Illinois v2.0
red locust,Locust,,Indiana v2.0
Red Locust,Locust,,Indiana v2.0
yel. locust,Locust,,Illinois v2.0
,Locust,,Northeast (1372)
,Locust,,OH - vernacular from OH471 towns
,Locust,,OH - vernacular from OH471 towns
,Locust,,OH - vernacular from OH471 towns
,Locust,,OH (471)
,Locust,,OH (471)
,Locust,,OH (471)
another maple,Maple,,Illinois v2.0
b elder,Maple,,Illinois v2.0
b elder,Maple,,Indiana v2.0
box,Maple,,Southern MI v1.6
box alder,Maple,,Illinois v2.0
box elder,Maple,,Illinois v2.0
Box elder,Maple,,Indiana v2.0
Box Elder,Maple,,Indiana v2.0
box elder,Maple,,Indiana v2.0
Box elder maple,Maple,,OH - vernacular from OH471 towns
boxelder,Maple,,Illinois v2.0
boxelder,Maple,,Indiana v2.0
Boxelder,Maple,,Indiana v2.0
Boxelder,Maple,,OH - vernacular from OH471 towns
boxwd,Maple,,Southern MI v1.6
boxwood,Maple,,Indiana v2.0
Boxwood,Maple,,Indiana v2.0
BX,Maple,,Upper Midwest
bxwd,Maple,,Southern MI v1.6
Double maple,Maple,,Indiana v2.0
elder,Maple,,Illinois v2.0
Elder,Maple,,Indiana v2.0
forked maple,Maple,,Illinois v2.0
Forked maple,Maple,,Indiana v2.0
Forked Maple,Maple,,Indiana v2.0
hard maple,Maple,,Illinois v2.0
Hard maple,Maple,,OH - vernacular from OH471 towns
LM,Maple,,Upper Midwest
MA,Maple,,Upper Midwest
MAP,Maple,,Southern MI v1.6
map,Maple,,Southern MI v1.6
map,Maple,,Upper Midwest
mapel,Maple,,Illinois v2.0
Mapl,Maple,,Southern MI v1.6
MAPL,Maple,,Southern MI v1.6
mapl,Maple,,Southern MI v1.6
mapl,Maple,,Upper Midwest
maple,Maple,,Illinois v2.0
maple,Maple,,Indiana v2.0
Maple,Maple,,Indiana v2.0
maple,Maple,,Southern MI v1.6
maple,Maple,,Southern MI_Detroit_ND_v1.0
Maple,Maple,,Southern MI_Detroit_ND_v1.0
Maple,Maple,,Upper Midwest
Maples,Maple,,Eastern Townships
MAPLES,Maple,,OH471_wiki
MAPLES_N_1,Maple,,Northeast1372_wiki
mapo,Maple,,Illinois v2.0
mapole,Maple,,Illinois v2.0
mayple,Maple,,Illinois v2.0
maypole,Maple,,Illinois v2.0
Maypole,Maple,,Indiana v2.0
maypoll,Maple,,Illinois v2.0
mmapl,Maple,,Southern MI v1.6
rm,Maple,,Southern MI v1.6
RV,Maple,,Upper Midwest
s maple,Maple,,Illinois v2.0
s maple,Maple,,Indiana v2.0
s. maple,Maple,,Illinois v2.0
s. maple,Maple,,Indiana v2.0
S. Maple,Maple,,Indiana v2.0
shugar,Maple,,Illinois v2.0
shugar,Maple,,Southern MI_Detroit_ND_v1.0
shugar tree,Maple,,Illinois v2.0
shugartree,Maple,,Illinois v2.0
shugurtree,Maple,,Illinois v2.0
SL,Maple,,Upper Midwest
sm,Maple,,Southern MI v1.6
SM,Maple,,Southern MI v1.6
SM,Maple,,Upper Midwest
sm,Maple,,Upper Midwest
SMAPL,Maple,,Southern MI v1.6
smapl,Maple,,Southern MI v1.6
sn,Maple,,Southern MI v1.6
soft maple,Maple,,Illinois v2.0
soft maple,Maple,,Indiana v2.0
Soft Maple,Maple,,Indiana v2.0
Soft maple,Maple,,OH - vernacular from OH471 towns
SR,Maple,,Upper Midwest
sug,Maple,,Illinois v2.0
sug,Maple,,Indiana v2.0
Sug,Maple,,Indiana v2.0
sug,Maple,,Southern MI_Detroit_ND_v1.0
Sug,Maple,,Southern MI_Detroit_ND_v1.0
sug maple,Maple,,Illinois v2.0
sug tree,Maple,,Illinois v2.0
sug tree,Maple,,Indiana v2.0
Sug tree,Maple,,Indiana v2.0
Sug Tree,Maple,,Indiana v2.0
sug tree,Maple,,Southern MI_Detroit_ND_v1.0
Sug.,Maple,,Indiana v2.0
sug. tree,Maple,,Illinois v2.0
sugar,Maple,,Illinois v2.0
sugar,Maple,,Indiana v2.0
Sugar,Maple,,Indiana v2.0
Sugar,Maple,,Indiana v2.0
sugar,Maple,,Southern MI_Detroit_ND_v1.0
Sugar,Maple,,Southern MI_Detroit_ND_v1.0
Sugar ,Maple,,OH - vernacular from OH471 towns
sugar maple,Maple,,Illinois v2.0
sugar maple,Maple,,Indiana v2.0
Sugar Maple,Maple,,Indiana v2.0
sugar tree,Maple,,Illinois v2.0
sugar tree,Maple,,Indiana v2.0
Sugar tree,Maple,,Indiana v2.0
Sugar Tree,Maple,,Indiana v2.0
sugar tree,Maple,,Southern MI_Detroit_ND_v1.0
Sugar Tree,Maple,,Southern MI_Detroit_ND_v1.0
Sugar tree   ,Maple,,OH - vernacular from OH471 towns
sugartree,Maple,,Illinois v2.0
sugartree,Maple,,Indiana v2.0
Sugartree,Maple,,Indiana v2.0
Sugatree,Maple,,Indiana v2.0
sugr,Maple,,Illinois v2.0
sugr,Maple,,Indiana v2.0
Sugr,Maple,,Indiana v2.0
sugr,Maple,,Southern MI_Detroit_ND_v1.0
Sugr,Maple,,Southern MI_Detroit_ND_v1.0
sugrs,Maple,,Southern MI_Detroit_ND_v1.0
sugtree,Maple,,Illinois v2.0
swamp maple,Maple,,Southern MI_Detroit_ND_v1.0
swp maple,Maple,,Indiana v2.0
w maple,Maple,,Illinois v2.0
w maple,Maple,,Indiana v2.0
W Maple,Maple,,Indiana v2.0
W. Maple,Maple,,Indiana v2.0
w.mapl,Maple,,Southern MI v1.6
white maple,Maple,,Indiana v2.0
white sugar tree,Maple,,Illinois v2.0
wm,Maple,,Southern MI v1.6
wmap,Maple,,Southern MI v1.6
wmapl,Maple,,Southern MI v1.6
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,Northeast (1372)
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH - vernacular from OH471 towns
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
,Maple,,OH (471)
DA,Missing,,Upper Midwest
DB,Missing,,Upper Midwest
DC,Missing,,Upper Midwest
DF,Missing,,Upper Midwest
DH,Missing,,Upper Midwest
DI,Missing,,Upper Midwest
DK,Missing,,Upper Midwest
DM,Missing,,Upper Midwest
DR,Missing,,Upper Midwest
DS,Missing,,Upper Midwest
DT,Missing,,Upper Midwest
DU,Missing,,Upper Midwest
XX,Missing,,Upper Midwest
mul,Mulberry,,Illinois v2.0
mul,Mulberry,,Southern MI v1.6
MULBERRIES,Mulberry,,OH471_wiki
mulberry,Mulberry,,Illinois v2.0
mulberry,Mulberry,,Indiana v2.0
Mulberry,Mulberry,,Indiana v2.0
mulberry tree,Mulberry,,Illinois v2.0
mulbery,Mulberry,,Illinois v2.0
mulbury,Mulberry,,Illinois v2.0
mulby,Mulberry,,Illinois v2.0
Mullberry,Mulberry,,Eastern Townships
mullberry,Mulberry,,Indiana v2.0
W. Mulberry,Mulberry,,Indiana v2.0
,Mulberry,,Northeast (1372)
,Mulberry,,OH - vernacular from OH471 towns
,Mulberry,,OH (471)
no data,No data,,Illinois v2.0
No data,No data,,Illinois v2.0
no data,No data,,Indiana v2.0
No data,No data,,Indiana v2.0
No data,No data,,Southern MI_Detroit_ND_v1.0
XC,No data,,Upper Midwest
MD,No tree,,Upper Midwest
ML,No tree,,Upper Midwest
NL,No tree,,Upper Midwest
NO,No tree,,Upper Midwest
no tree,No tree,,Illinois v2.0
No tree,No tree,,Illinois v2.0
no tree,No tree,,Indiana v2.0
No tree,No tree,,Indiana v2.0
No tree,No tree,,Southern MI_Detroit_ND_v1.0
NonTree,No tree,,Upper Midwest
PT,No tree,,Upper Midwest
wet,No tree,,Illinois v2.0
Wet,No tree,,Indiana v2.0
Wet,No tree,,Southern MI_Detroit_ND_v1.0
b jack,Oak,,Illinois v2.0
b jack,Oak,,Indiana v2.0
B jack,Oak,,Indiana v2.0
B Jack,Oak,,Indiana v2.0
b jack bush,Oak,,Illinois v2.0
b jack oak,Oak,,Illinois v2.0
b jak,Oak,,Illinois v2.0
b o,Oak,,Illinois v2.0
b o,Oak,,Indiana v2.0
B O,Oak,,Southern MI_Detroit_ND_v1.0
b oa,Oak,,Illinois v2.0
b oak,Oak,,Illinois v2.0
B oak,Oak,,Indiana v2.0
B Oak,Oak,,Indiana v2.0
B OAK,Oak,,Indiana v2.0
b oak,Oak,,Indiana v2.0
b oak,Oak,,Southern MI_Detroit_ND_v1.0
B oak,Oak,,Southern MI_Detroit_ND_v1.0
b oak bush,Oak,,Illinois v2.0
b oak bush,Oak,,Indiana v2.0
b oak sapling,Oak,,Illinois v2.0
b ok,Oak,,Illinois v2.0
b ok,Oak,,Indiana v2.0
B Ok,Oak,,Indiana v2.0
b oke,Oak,,Illinois v2.0
b. jack,Oak,,Illinois v2.0
b. jack,Oak,,Indiana v2.0
B. Jack,Oak,,Indiana v2.0
b. o,Oak,,Illinois v2.0
B. O,Oak,,Indiana v2.0
b. o.,Oak,,Illinois v2.0
B. O.,Oak,,Indiana v2.0
B. O.,Oak,,Southern MI_Detroit_ND_v1.0
b. oak,Oak,,Illinois v2.0
b. oak,Oak,,Indiana v2.0
B. oak,Oak,,Indiana v2.0
B. Oak,Oak,,Indiana v2.0
b. oak bush,Oak,,Illinois v2.0
b.o,Oak,,Illinois v2.0
B.O,Oak,,Southern MI_Detroit_ND_v1.0
b.o.,Oak,,Illinois v2.0
B.O.,Oak,,Southern MI_Detroit_ND_v1.0
b.oak,Oak,,Indiana v2.0
B.Oak,Oak,,Indiana v2.0
bj,Oak,,Illinois v2.0
bj oak,Oak,,Illinois v2.0
BJack,Oak,,Indiana v2.0
BK,Oak,,Upper Midwest
bk o,Oak,,Illinois v2.0
bk oak,Oak,,Illinois v2.0
bk oak,Oak,,Indiana v2.0
bl jack,Oak,,Indiana v2.0
Bl Jack,Oak,,Indiana v2.0
bl jack oak,Oak,,Illinois v2.0
bl oak,Oak,,Illinois v2.0
bl oak,Oak,,Indiana v2.0
Bl oak,Oak,,Indiana v2.0
Bl Oak,Oak,,Indiana v2.0
bl ok,Oak,,Indiana v2.0
Bl Ok,Oak,,Indiana v2.0
bl. oak,Oak,,Indiana v2.0
Bl. oak,Oak,,Indiana v2.0
Bl. Oak,Oak,,Indiana v2.0
black jack,Oak,,Illinois v2.0
black jack,Oak,,Indiana v2.0
Black Jack,Oak,,Indiana v2.0
black o,Oak,,Illinois v2.0
black o.,Oak,,Illinois v2.0
black oak,Oak,,Illinois v2.0
black oak,Oak,,Indiana v2.0
black Oak,Oak,,Indiana v2.0
Black oak,Oak,,Indiana v2.0
Black Oak,Oak,,Indiana v2.0
black oak stump,Oak,,Illinois v2.0
Black Oak Tree,Oak,,Indiana v2.0
black ok,Oak,,Indiana v2.0
black or red oak,Oak,,Illinois v2.0
black or yellow oak,Oak,,Indiana v2.0
blackjack,Oak,,Illinois v2.0
Blackjack,Oak,,OH - vernacular from OH471 towns
Blackjack oak,Oak,,OH - vernacular from OH471 towns
blak oak,Oak,,Illinois v2.0
blck oak,Oak,,Illinois v2.0
blk jack,Oak,,Illinois v2.0
blk jack,Oak,,Indiana v2.0
blk o,Oak,,Illinois v2.0
blk O,Oak,,Indiana v2.0
blk oak,Oak,,Illinois v2.0
blk oak,Oak,,Indiana v2.0
Blk oak,Oak,,Indiana v2.0
Blk Oak,Oak,,Indiana v2.0
blk. jack,Oak,,Illinois v2.0
blk. oak,Oak,,Illinois v2.0
Blk. Oak,Oak,,Indiana v2.0
bo,Oak,,Illinois v2.0
BO,Oak,,Southern MI v1.6
bo,Oak,,Southern MI v1.6
bo,Oak,,Southern MI_Detroit_ND_v1.0
Bo,Oak,,Southern MI_Detroit_ND_v1.0
BO,Oak,,Southern MI_Detroit_ND_v1.0
BO,Oak,,Upper Midwest
bo,Oak,,Upper Midwest
bo bush,Oak,,Illinois v2.0
bo.,Oak,,Illinois v2.0
bo/ro,Oak,,Southern MI v1.6
boak,Oak,,Illinois v2.0
boak,Oak,,Indiana v2.0
